"","x"
"1080",0.265654075764171
"1081",0.271318095102664
"1082",0.467249951148194
"1083",0.031367405791399
"1084",0.247037102782289
"1085",0.11969970230409
"1086",0.00531040883379271
"1087",0.529216505181768
"1088",0
"1089",0.116148538036734
"1090",0.130646611856179
"1091",0.4385154391154
"1092",0.175758379224552
"1093",0.119426698045733
"1094",0.0150024867693708
"1095",0
"1096",0
"1097",0
"1098",0
"1099",0
"1100",0
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0.0801227902841226
"1106",0
"1107",0
"1108",0
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",0
"1118",0
"1119",0.0384385065890005
"1120",0
"1121",0.040342784255472
"1122",0
"1123",0
"1124",0.0449694079892765
"1125",0
"1126",0.0166403783299344
"1127",0
"1128",0.70051854260445
"1129",0.00121738263366635
"1130",0.522674736406489
"1131",0.0294709270966868
"1132",0.030723444250555
"1133",0.0182871143490675
"1134",0.0173216337665942
"1135",0.147574143434443
"1136",0.0491225367239087
"1137",0.316443187162968
"1138",0
"1139",0.294074948241584
"1140",0.417671241641109
"1141",0.782625344206385
"1142",0.250364550735987
"1143",0.118373583368531
"1144",0.113561885808427
"1145",0.236929171103049
"1146",0.596210191881826
"1147",0.17096555081676
"1148",0.174949222210451
"1149",0.238059692419072
"1150",0.142536373338886
"1151",0.0234313893965703
"1152",0.793069347765671
"1153",0.00995370095354919
"1154",0
"1155",0
"1156",0.407384690948781
"1157",0.158336036953893
"1158",0.0824318819159984
"1159",0
"1160",0.478689349031828
"1161",0.242246814307423
"1162",0.0917703375829182
"1163",0.254045789600806
"1164",0.966154380504141
"1165",0.455603086067696
"1166",0.0114035860171054
"1167",0.209486479473722
"1168",0
"1169",0
"1170",0
"1171",0
"1172",0
"1173",0
"1174",0.102886005316484
"1175",0.124227940571284
"1176",0.14705134868706
"1177",0.125799636474046
"1178",0.593872466990506
"1179",0
"1180",0
"1181",0.136188829532994
"1182",0.166410905434489
"1183",0.280687927154306
"1184",0.0657065350544397
"1185",0.188908682218081
"1186",0.0116690267928359
"1187",0
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",0
"1194",0
"1195",0
"1196",0.11280443411398
"1197",0
"1198",0.042433996734598
"1199",0
"1200",0
"1201",0
"1202",0
"1203",0
"1204",0
"1205",0
"1206",0
"1207",0
"1208",0
"1209",0
"1210",0.0754236570436916
"1211",0
"1212",0.0470826986454712
"1213",0.0391503183758082
"1214",0
"1215",0
"1216",0
"1217",0
"1218",0
"1219",0.161706279230829
"1220",0.0211130866941862
"1221",0.0121676699656826
"1222",0
"1223",0.790381830545418
"1224",2.5913473856688
"1225",0.117876746015897
"1226",0.257568337485085
"1227",0.00665114051633695
"1228",0.00264740340757429
"1229",0.0128077765230396
"1230",1.44015908544031
"1231",0.144371235998769
"1232",0.197240969381768
"1233",0.0200506766217085
"1234",0.297333722524153
"1235",0.178319372484571
"1236",0.428758292520602
"1237",0.66566925821059
"1238",0.160794580252282
"1239",0
"1240",0.273038102217118
"1241",0.776756754266238
"1242",0.1343307213031
"1243",0.486443616079971
"1244",0.216075605858718
"1245",0.184605431477381
"1246",0.110287765520968
"1247",0.115486434516829
"1248",0
"1249",1.02166213127964
"1250",0.875573877001551
"1251",0.689206801332566
"1252",0.380277524377789
"1253",0.202111403635602
"1254",1.05792196535328
"1255",0.533673970100242
"1256",0.451472123147569
"1257",0.978700313183748
"1258",0.668329208079798
"1259",0.522536916257671
"1260",0.500568531696093
"1261",0
"1262",0
"1263",0.00365396484133078
"1264",0.0179256123329412
"1265",0
"1266",0
"1267",0
"1268",0.0513357595565129
"1269",1.02135508529052
"1270",0.585895155851609
"1271",0.666885451629192
"1272",0
"1273",0
"1274",0.203359901475927
"1275",0.0273044851962156
"1276",0.380418632566004
"1277",0.293903387234073
"1278",0.676306123613848
"1279",0.0080844313742465
"1280",0
"1281",0
"1282",0
"1283",0
"1284",0
"1285",0
"1286",0
"1287",0
"1288",0
"1289",0.153284276066769
"1290",0
"1291",0.106139059595349
"1292",0.0938648958128619
"1293",0
"1294",0
"1295",0
"1296",0
"1297",0
"1298",0.52730367355958
"1299",0
"1300",0
"1301",0.0497029653494103
"1302",0
"1303",0.133938999395621
"1304",0
"1305",0.192000753021412
"1306",0.31812903609349
"1307",0
"1308",0.0397832420918261
"1309",0
"1310",0
"1311",0.494567245410602
"1312",0.091229816713958
"1313",0
"1314",0.0449694079892765
"1315",0.0166403783299344
"1316",0.0104024957519606
"1317",0.336850862129983
"1318",0.665069676037354
"1319",0.534586845889819
"1320",0
"1321",0.232297576875124
"1322",0
"1323",0.00355427531291976
"1324",0.492544425820253
"1325",0.181219086333156
"1326",0.606388872553646
"1327",0
"1328",0
"1329",0.433657209904924
"1330",0.335480292809778
"1331",0.772630912062824
"1332",0.453551326694375
"1333",0.177598750823308
"1334",0.593606998460742
"1335",0.123954711711789
"1336",0.132539774778481
"1337",0.556138843070082
"1338",0.672544827493155
"1339",0.925318746150122
"1340",0.155696873348018
"1341",1.06331804649509
"1342",0.673360356771649
"1343",0.363429065608046
"1344",0.733288534462461
